,ad_id,link,county_number,county,location1,location2,apartment_type,sqft(m2),sqft_net(m2),number_of_rooms,balcony_type,number_of_floors,floor_number,floors_in_building,year_of_construction,year_of_renovation,parking_spots,energy_class,price(€),post_date
135,38174395,https://www.njuskalo.hr/nekretnine/maksimir-gornji-bukovac-cetverosoban-stan-luksuzna-novogradnja-oglas-38174395,21,Grad Zagreb,Maksimir,Gornji Bukovac,1,128.55,128.55,4.0,,1.0,2.,,2022.0,,,,642750.0,2024-06-20
136,38174396,https://www.njuskalo.hr/nekretnine/maksimir-gornji-bukovac-cetverosoban-stan-luksuzna-novogradnja-oglas-38174396,21,Grad Zagreb,Maksimir,Gornji Bukovac,1,171.2,171.2,4.0,,1.0,1.,,2022.0,,,,770400.0,2024-06-20
137,40132756,https://www.njuskalo.hr/nekretnine/donji-grad-marticeva-peterosoban-odlicna-lokacija-oglas-40132756,21,Grad Zagreb,Donji Grad,Donji grad,1,150.0,150.0,5.0,,1.0,1.,4,1932.0,2010.0,,,650000.0,2024-06-20
138,40474615,https://www.njuskalo.hr/nekretnine/perjavica-novogradnja-trosoban-stan-parking-oglas-40474615,21,Grad Zagreb,Podsused - Vrapče,Perjavica,1,77.48,77.48,3.0,,1.0,Visoko prizemlje,Visoko prizemlje,2023.0,,,,216944.0,2024-06-20
139,41002968,https://www.njuskalo.hr/nekretnine/opatija-marsala-tita-cetverosoban-stan-vili-odlicna-lokacija-oglas-41002968,8,Primorsko-goranska,Opatija,Opatija - Centar,1,97.94,97.94,4.0,,1.0,Potkrovlje,3,1900.0,2022.0,,,719000.0,2024-06-20
140,41403181,https://www.njuskalo.hr/nekretnine/donji-grad-draskoviceva-jednosoban-stan-odlicna-lokacija-oglas-41403181,21,Grad Zagreb,Donji Grad,Donji grad,1,33.4,33.4,1.0,,1.0,2.,,1930.0,,,,124000.0,2024-06-20
141,41562283,https://www.njuskalo.hr/nekretnine/domobranska-novogradnja-3-spavace-loda-2-gpm-oglas-41562283,21,Grad Zagreb,Donji Grad,Donji grad,1,127.0,127.0,4.0,,1.0,3.,,2020.0,,,,637000.0,2024-06-20
142,41748245,https://www.njuskalo.hr/nekretnine/maksimir-gornji-bukovac-trosoban-stan-oglas-41748245,21,Grad Zagreb,Maksimir,Gornji Bukovac,1,137.57,137.57,3.0,,1.0,2.,2,2009.0,2018.0,,,412710.0,2024-06-20
143,41784241,https://www.njuskalo.hr/nekretnine/dubrava-mramorni-prilaz-cetverosoban-stan-luksuzna-novogradnja-oglas-41784241,21,Grad Zagreb,Gornja Dubrava,Gornja Dubrava,1,69.55,69.55,4.0,,1.0,Prizemlje,2,2023.0,,,,201695.0,2024-06-20
144,42496525,https://www.njuskalo.hr/nekretnine/donji-grad-boskoviceva-cetverosoban-stan-odlicna-lokacija-oglas-42496525,21,Grad Zagreb,Donji Grad,Donji grad,1,145.0,145.0,4.0,,1.0,2.,,1913.0,2005.0,,,435000.0,2024-06-20
145,42585245,https://www.njuskalo.hr/nekretnine/donji-grad-vodnikova-cetverosoban-stan-odlicna-lokacija-oglas-42585245,21,Grad Zagreb,Donji Grad,Donji grad,1,118.0,118.0,4.0,,1.0,1.,,1933.0,,,,295000.0,2024-06-20
146,42646552,https://www.njuskalo.hr/nekretnine/tresnjevka-kunagorska-cetverosoban-stan-odlicna-lokacija-oglas-42646552,21,Grad Zagreb,Trešnjevka - Sjever,Trešnjevka,1,87.12,87.12,3.0,,1.0,2.,2,2011.0,,,,254000.0,2024-06-20
147,42753949,https://www.njuskalo.hr/nekretnine/britanac-trosoban-stan-panoramskim-pogledom-grad-oglas-42753949,21,Grad Zagreb,Gornji Grad - Medveščak,Pantovčak,1,88.0,88.0,3.0,,2.0,2.,,,2020.0,,,264000.0,2024-06-20
148,42769597,https://www.njuskalo.hr/nekretnine/petrusevec-iii-trosoban-stan-parking-oglas-42769597,21,Grad Zagreb,Peščenica - Žitnjak,Petruševec,1,56.0,56.0,3.0,,1.0,Visoko prizemlje,Visoko prizemlje,2010.0,,,,139000.0,2024-06-20
149,42830588,https://www.njuskalo.hr/nekretnine/crnomerec-ilica-trosoban-stan-odlicna-lokacija-oglas-42830588,21,Grad Zagreb,Črnomerec,Črnomerec,1,105.0,105.0,3.0,,1.0,2.,3,1930.0,,,,315000.0,2024-06-20
150,42872449,https://www.njuskalo.hr/nekretnine/dubrava-dvosoban-stan-odlicna-lokacija-oglas-42872449,21,Grad Zagreb,Donja Dubrava,Dubrava,1,54.25,54.25,2.0,,1.0,1.,5,2003.0,,,,130000.0,2024-06-20
151,43216168,https://www.njuskalo.hr/nekretnine/vodice-moderna-novogradnja-parking-odlicna-lokacija-oglas-43216168,15,Šibensko-kninska,Vodice,Vodice,1,65.47,65.47,2.0,,1.0,2.,,2024.0,,,,170000.0,2024-06-20
152,43216169,https://www.njuskalo.hr/nekretnine/vodice-moderna-novogradnja-parking-odlicna-lokacija-oglas-43216169,15,Šibensko-kninska,Vodice,Vodice,1,99.63,99.63,4.0,,1.0,2.,,2024.0,,,,240000.0,2024-06-20
153,43216171,https://www.njuskalo.hr/nekretnine/vodice-moderna-novogradnja-parking-odlicna-lokacija-oglas-43216171,15,Šibensko-kninska,Vodice,Vodice,1,112.9,112.9,4.0,,1.0,2.,2,2024.0,,,,260000.0,2024-06-20
154,43216172,https://www.njuskalo.hr/nekretnine/vodice-moderna-novogradnja-parking-odlicna-lokacija-oglas-43216172,15,Šibensko-kninska,Vodice,Vodice,1,135.71,135.71,4.0,,1.0,1.,,2024.0,,,,270000.0,2024-06-20
155,43264477,https://www.njuskalo.hr/nekretnine/centar-senoina-sesterosoban-stan-adaptaciju-odlicnoj-lokaciji-oglas-43264477,21,Grad Zagreb,Donji Grad,Donji grad,1,228.56,228.56,5.0,,1.0,Potkrovlje,3,1987.0,,,,550000.0,2024-06-20
156,43289676,https://www.njuskalo.hr/nekretnine/remete-pustoselina-cetverosoban-stan-urbanoj-vili-parking-oglas-43289676,21,Grad Zagreb,Maksimir,Remete,1,119.1,119.1,4.0,,1.0,3.,,2024.0,,,,369210.0,2024-06-20
157,43289677,https://www.njuskalo.hr/nekretnine/remete-pustoselina-cetverosoban-stan-urbanoj-vili-parking-oglas-43289677,21,Grad Zagreb,Maksimir,Remete,1,126.0,126.0,4.0,,1.0,2.,,2024.0,,,,390600.0,2024-06-20
158,43600128,https://www.njuskalo.hr/nekretnine/centar-mesnicka-jednosoban-stan-odlicnoj-lokaciji-oglas-43600128,21,Grad Zagreb,Donji Grad,Donji grad,1,29.46,29.46,1.0,,1.0,Potkrovlje,2,1890.0,2023.0,,,150000.0,2024-06-20
159,43734379,https://www.njuskalo.hr/nekretnine/donji-grad-domjaniceva-dvosoban-stan-odlicna-lokacija-oglas-43734379,21,Grad Zagreb,Donji Grad,Donji grad,1,47.16,47.16,2.0,,1.0,2.,3,1939.0,2024.0,,,180000.0,2024-06-20
160,43742645,https://www.njuskalo.hr/nekretnine/trnava-novogradnja-dvosoban-stan-odlicnoj-lokaciji-s1-oglas-43742645,21,Grad Zagreb,Donja Dubrava,Donja Dubrava,1,50.07,50.07,2.0,,1.0,1.,,,,,,160224.0,2024-06-20
161,43805994,https://www.njuskalo.hr/nekretnine/medvescak-dvosoban-stan-odlicna-lokacija-oglas-43805994,21,Grad Zagreb,Gornji Grad - Medveščak,Medveščak,1,53.0,53.0,2.0,,1.0,Visoko prizemlje,Visoko prizemlje,,,,,215000.0,2024-06-20
162,44017106,https://www.njuskalo.hr/nekretnine/jarun-hinka-wurtha-trosoban-stan-odlicna-lokacija-oglas-44017106,21,Grad Zagreb,Trešnjevka - Jug,Jarun,1,69.81,69.81,3.0,,1.0,Visoko prizemlje,Visoko prizemlje,1989.0,2021.0,,,245000.0,2024-06-20
163,37052817,https://www.njuskalo.hr/nekretnine/trosobni-apartman-pogledom-more-podsolarsko-oglas-37052817,15,Šibensko-kninska,Šibenik - Okolica,Podsolarsko,1,131.0,,4.0,Balkon,1.0,,3,2004.0,,1,B,250000.0,2024-06-20
164,38231814,https://www.njuskalo.hr/nekretnine/dvosobni-stan-katu-kuce-krapanj-oglas-38231814,15,Šibensko-kninska,Šibenik - Okolica,Krapanj,0,53.0,,3.0,,1.0,1.,1,1960.0,2019.0,,,97000.0,2024-06-20
